# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
fifo_bounded,sr_16,8192,1024,512,32,5,1,111006.158,7777.625,109898.140,118087.149,138470.504
chained_hash_bounded,sr_16,8192,1024,512,32,5,0,689.178,209.459,628.782,771.181,1547.245
chained_hash_bounded,sr_16,8192,1024,512,32,5,1,911.040,236.311,850.096,1102.469,2017.220
balanced_tree_bounded,sr_16,8192,1024,512,32,5,0,1738.883,357.637,1650.577,2032.651,2976.508
balanced_tree_bounded,sr_16,8192,1024,512,32,5,1,1928.076,350.115,1809.774,2218.415,3399.797
psn_dynblock,sr_16,8192,1024,512,32,5,0,1293.171,1550.038,805.365,1497.434,7643.049
psn_dynblock,sr_16,8192,1024,512,32,5,1,1114.485,573.029,905.376,1846.107,3688.697
psn_dynblock_adaptive,sr_16,8192,1024,512,32,5,0,622.380,119.298,575.846,720.980,1088.208
psn_dynblock_adaptive,sr_16,8192,1024,512,32,5,1,786.841,86.809,756.531,879.201,1183.923
index_only,sr_16,8192,1024,512,32,5,0,83.949,36.476,75.399,84.971,276.594
index_only,sr_16,8192,1024,512,32,5,1,232.971,47.279,209.594,306.089,377.386
fifo_bounded,sr_64,8192,1024,512,32,5,0,426304.308,29954.666,421536.615,439258.146,535310.974
fifo_bounded,sr_64,8192,1024,512,32,5,1,422740.723,21663.398,417457.640,437933.777,539938.448
chained_hash_bounded,sr_64,8192,1024,512,32,5,0,2927.691,582.810,2760.078,3368.154,5847.339
chained_hash_bounded,sr_64,8192,1024,512,32,5,1,4009.197,398.448,3912.746,4536.644,5715.098
balanced_tree_bounded,sr_64,8192,1024,512,32,5,0,7475.090,1523.869,6952.152,9391.489,13795.697
balanced_tree_bounded,sr_64,8192,1024,512,32,5,1,7694.644,768.807,7453.575,8769.348,10433.599
psn_dynblock,sr_64,8192,1024,512,32,5,0,2893.610,459.417,2768.476,3293.926,5183.984
psn_dynblock,sr_64,8192,1024,512,32,5,1,4246.716,849.822,4000.647,4795.073,8789.469
psn_dynblock_adaptive,sr_64,8192,1024,512,32,5,0,2968.990,868.606,2803.637,3364.832,5617.040
psn_dynblock_adaptive,sr_64,8192,1024,512,32,5,1,4172.950,846.227,3938.139,5276.962,7530.146
index_only,sr_64,8192,1024,512,32,5,0,311.777,60.167,290.462,385.199,563.540
index_only,sr_64,8192,1024,512,32,5,1,1376.758,200.543,1348.199,1522.047,2045.152
fifo_bounded,gbn_long64,10240,1024,512,32,5,0,566491.851,33383.430,561597.727,599615.494,721939.253
chained_hash_bounded,gbn_long64,10240,1024,512,32,5,0,2359.269,261.348,2305.534,2629.202,3477.931
balanced_tree_bounded,gbn_long64,10240,1024,512,32,5,0,3355.078,549.407,3249.585,3804.921,5357.441
psn_dynblock,gbn_long64,10240,1024,512,32,5,0,3246.384,2259.219,2279.554,8464.627,10128.682
psn_dynblock_adaptive,gbn_long64,10240,1024,512,32,5,0,2181.575,402.310,2062.147,2687.803,3924.661
index_only,gbn_long64,10240,1024,512,32,5,0,276.104,50.425,276.203,357.853,428.174
fifo_bounded,gbn_short8,10240,1024,512,32,5,0,71440.111,6936.385,70403.254,76599.657,98191.546
chained_hash_bounded,gbn_short8,10240,1024,512,32,5,0,326.985,126.137,276.008,447.511,761.609
balanced_tree_bounded,gbn_short8,10240,1024,512,32,5,0,618.969,156.125,561.586,800.872,1242.914
psn_dynblock,gbn_short8,10240,1024,512,32,5,0,322.021,177.237,270.148,458.451,686.015
psn_dynblock_adaptive,gbn_short8,10240,1024,512,32,5,0,270.604,146.866,231.667,363.907,675.858
